description,file
"Parallelogram with horizontal base, ""I can have"" arrow to, parallelogram with horizontal height.6\times9=54=54\ cm^2
",32cb985d-1670-48d4-853e-243edbfa5259.jpg
"Graph with two parallel lines. One line begins from (0,0) and the second line starts from (0,-7). The student made an error so there is a third line from (0,-7) however it is drawn in error (not parallel to line 1)
",02f268f8-fc19-42d9-a22e-37d28a8f9144.jpg
"Graph with two partial lines drawn, labeled A and B, the slopes of both lines are 2, Line a has a y-intercept at (0,0) and Line B has a y-intercept at (0,-7)
",28959a1c-971f-407c-a369-9c649314852d.jpg
"Graph of two parallel lines with y-intercepts at the origin and (0,-7)
",3c03fcdd-2975-4b6b-80b6-c7abeb3aadcf.jpg
"The student drew a slope triangle with a vertical change of 6 and horizontal change of 2
",f60f0cf2-e186-439a-b317-911ec6a4dd9e.jpg
"Student drew five slope triangle under the line.
",c63ff8a3-1cd8-437d-b9b1-4978333707fb.jpg
"Student drew two slope triangle using the point (4, 5) on the line for the smaller slope triangle and a nonlattice point (x, y) 
",b4e9f9eb-6d83-42da-b9f7-05055d03fd2a.jpg
"Student draws slope triangle and labels vertices 6, 6 and 10, 6 and 10, 8. Student also labels horizontal length as 4 and vertical length as 2. Student writes \frac{y-8}{x-10}  with an arrow pointing to 10, 8. To the right of this the student writes \frac{Rise}{Run}=\frac{2}{4}=\frac{1}{2} 

",81254cea-a6b0-4e21-ba49-f70f8d6213ed.jpg
"Two points labeled (2,5) and (1,2) with a slope triangle connecting them 
",781398ea-769d-4eaa-995a-5cf032fdd96d.jpg
"Quadrant 1 grid. x-axis scaled from 0-3. A right triangle is drawn adjacent to the x-axis from 1-3 
",73e89222-98ef-422b-8780-47c74b4e4b22.jpg
"Quadrant 1 graph, scaled 1-5 (x-axis) and count by 3s (y-axis); y-intercept at (0,9)
",241a2004-cc18-4770-983f-be756e90ed4c.jpg
"Student draws a line starting at the origin and going through the points (1, 1), (2, 2), (3, 3), etc.
",784f9542-7299-421f-bf2a-d878c956fecb.jpg
"Graph scaled 0-5 (y-axis) and 0-6 (x-axis); both axis labeled as x or y; straight line draw upward from (0,3) with 4 plotted points; slope triangle drawn between the first two points with 3 (height of triangle) and 1 (base of triangle) 
",fcdae6fa-1f52-42ae-baab-217b19a6ccbe.jpg
"slope triangle drawn between the first two points with 3 (height of triangle) and 1 (base of triangle)
",146fdcd2-6c0c-4295-943b-3ccf36d6c6c0.jpg
"slope triangle drawn between the first two points with 3 (height of triangle) and 1 (base of triangle
",fb9e6601-7225-4a8d-ad2a-06b15e58d117.jpg
"The student draws 5 equal-sized boxes, the first box is shaded in, the other four are not shaded. The student annotates the model above to show +20p. 
",ff084d65-385f-4cd5-be08-664a7851eae8.jpg
"two column table 
x        y 
1        3
2        6
3        9
",45a99e10-f73a-4c33-bfb8-e6d2e5574367.jpg
"Line starts at the origin and goes through the points (2, 2), (4, 4), (6, 6) etc.
",4b2d591b-a9bb-41c8-a4b2-33493eae0334.jpg
"line starts at the origin and goes through the points (1, 1), (2, 2), (3, 3), etc.
",685aedf8-d11b-46c6-9698-3a33fd508ec7.jpg
"Student plots points (0, 1), (1, 2), (2, 4), and (4, 6) connecting them from left to right
",780a03e8-627d-4b41-9e11-b68f11280979.jpg
"Line starts around (0, 0.75) and goes to (6, 7)
",543d982b-dc51-4c48-9034-47515ed5cae9.jpg
"Line starts at (1, 0.5) and goes to (8, 6)
",18b0e927-d94a-4dc1-9a43-b8e6cb3abfc5.jpg
"Line does not begin at the origin and does not pass through the points (1, 1) (2, 2) (3, 3) (4, 4) (5, 5) (6, 6) (7, 7)
",43bee3a4-9287-4051-ab13-563b666ef70f.jpg
"Line starts at the origin and has a vertical change of 1 second and a horizontal change of 1 centimeter
",7ee8e999-fba9-4c01-8b25-d03d2d686865.jpg
"The student transformed the bottom of the parallelogram into a rectangle.
",2e276d57-d29d-40f6-ace5-bf55415fdca5.jpg
"The student transformed the top of the parallelogram into a rectangle.
",58b6a20d-007e-415e-92ff-bed3c9682404.jpg
"E xample 1. Picture of a parallelogram transforming into a rectangle by moving the bottom triangle to the top.
",491ba371-453c-4f95-8433-f99b58d14164.jpg
"Parallelogram with base 9 am, height 6 cm, and diagonal length 7.5 cm.
",fdf87539-7dfb-4cc0-a97d-6629f3e0fe00.jpg
"

The student accurately draws a model to represent the situation. The student draws a rectangle and divides it into 5 parts.
",8eafb5b1-ff89-49dc-9bd1-e9ea496734a1.jpg
"The vertical parallelogram diagram is now drawn horizontally, and labeled.
",ea5da7c7-4f7b-421c-8634-bc367ce6b158.jpg
"arrows drawn from 9 cm to 9 in formula and height to 6 in formula
",8de08e0a-35da-4a80-a554-cb85a032ffac.jpg
"Student draws larger slope triangle with vertices at (5, 7), (11, 7), and (11, 9). They label the vertical length as 2 and the horizontal length as 6
",dde0b05e-7429-4bf2-9f6f-a1a3c209c1e1.jpg
"

The student drew an appropriate model to correctly represent the described situation. 
",cf99af80-91b4-43db-b4f7-bde084ef1caf.jpg
"

The student drew an appropriate model to represent the described situation.
",20f17b75-9bd3-4642-900d-e569ede379a8.jpg
"

The student draws a solid model to represent the described situation. 

\frac{2}{5}\ \ \ \ \ =\ \$240 

\frac{4}{5}\ \ \ \ =\ \$480 

\frac{1}{5\ }\ \ \ \ \ =\ \$120 
",31ebb4b7-1477-45e0-8c5f-6fda4349c24d.jpg
"3 number lines. The first one is marked with 2, 4, 6, 8, 10 and is labeled ears. The second is marked with 4, 8, 12, 16, 20  and is labeled paws. The third is marked with 1, 2, 3, 4, 5 and is labeled tail.
",5f1d577e-6eaf-4252-92fd-c089e6a884a4.jpg
"two vertical lines drawn through each pair of vertices in parallelogram with a triangle shaded in on right side of figure
",f47ee359-6758-42f3-9054-87f0a88c6935.jpg
" describe model he
The student draws an appropriate model to represent the described situation.
",3b65d4b3-a5d1-4534-90fd-cb990fc9cf6d.jpg
"
The student draws an appropriate model to represent the described situation.
",0ff14721-4d26-4d73-9f33-16b00c3e4859.jpg
"
The student drew a model that correctly represents the described situation.
",2eefcab6-9711-4fc5-8f24-4c82076be98b.jpg
"
The student draws an appropriate model with five parts and shades in two parts to denote the amount of money raised.

Answer: 600
",a73ab3d7-4825-4409-a1e3-0ebff86e9f40.jpg
"three open circles on top of two open circles
",554d5a0b-e755-4c81-b6ec-3ce45c4da08c.jpg
"

The student drew. a model with five parts and shaded in two parts. The student show the shaded part as \frac{2}{5.} 
",2a0b9d6b-f617-4585-abd0-ee8ee91a793e.jpg
"Student did attempt at plotting the points.
",7fb7a3ee-3cb3-4f33-b23a-5212b1cd45f5.jpg
"Student attempted graphing the points.
",c1cf4970-2de0-4f53-a120-909564f896c0.jpg
"There is one long rectangle tape diagram, which is divided into 4 equal sized rectangular boxes with the number 12 written inside each. Above this, there is a line connecting the first box with last box on the right, and below this line are the numbers 100 and 48 just above the tape diagram.  Finally, there is a line below the tape diagram connecting the first box with the 3rd box and this line is labeled 75%
",022125af-050e-4dab-8249-a98829871617.jpg
"there are two long rectangles of nearly equal length.  each contains many lines or shading inside
",c413ab13-eeeb-4433-b2b1-c43692fac5c5.jpg
"
The student draws an appropriate model with five parts and the total equals 600.
",cb40cd4b-3c13-482d-95b7-f551ee6ead99.jpg
"One long rectangular tape diagram, which is divided into 4 equal sections, each containing the number 12
",5427d54d-951b-41d1-8608-324eb52442cc.jpg
"slope triangle drawn to connect the coordinates (3,3) and (9,9)
",ccd89839-e03d-4229-bf5f-af0d2890a8d7.jpg
"the student underlines the slope ""3"" in their written equation and draws an arrow to the 3 and writes ""y axis""
",c0403d30-c833-4f7d-97da-3f4796da02b7.jpg
"Slope triangle drawn with height (3) and base (1)
",c1c87500-f15a-410e-a53e-d474d4982d57.jpg
"drew and highlighted a horizontal line across the middle of each figure
",ce1d2369-f754-4f41-b4a2-943591785665.jpg
"slope triangle with a base of 1 unit and a height of 3 units 
",8e4f1da0-7843-4778-b6dc-75bfd6d950ff.jpg
"triangle drawn attached to the line; base (1 unit) with height of 3 units
",1133e806-09b4-4daf-9d34-2da66f32323c.jpg
"The student draws a sketch of a line starting from a point labeled (0,3) that goes upward, straight until it stops 4 units right and 13.5 units up 
",b7bd1e85-7b5c-4bd9-b0d5-1c827d888714.jpg
"There is one long rectangular tape diagram, which is divided into 10 equal size boxes, each containing the number 9.  Below it they have labeled the first for sections ""36 units""
",62d63ee6-e2ea-4eb4-a142-d0edbdec4a53.jpg
"There is a rectangular tape diagram containing 4 equal sized boxes, each with the number 12 inside. Above it is 100%, with lines indicating all 4 boxes together
",dc4b3e7d-c14a-4e46-a2f2-8f90245fbf29.jpg
"grid scaled 0-100 (y-axis) and 0-10 (x-axis) the line begins at (0,10) and ends at (10,40)
",20c6003c-0b14-4c62-9596-1de8708571d8.jpg
"Grid scaled 0-6 for the x and y-axis
two lines starting from the origin 
Line one is labeled slope 1 
Line two is labeled slope 3
",18792b76-e91e-43b3-ac7c-afa84fb56631.jpg
"Grid without a scale, a linear relationship drawn from approximately the 1st mark on the y-axis and a slope close to 3
",2a91fa1f-806a-4bb8-9dad-ccb542689c15.jpg
"Grid scaled 0-12(y-axis) and 0-10(x-axis) the line begins from the y-axis at (0,3) and they draw slope triangles with vertical change of 3 and horizontal change of 1 until the grid runs out
",817eb38d-f508-48a0-9d99-d4bb68dd0fbb.jpg
"slope triangle with height (3) and base (1)
",22f60ed2-f6ba-48ec-bc2a-cf544a8b59f0.jpg
"v=3                              
H=3 
\frac{9}{3} / 3

a triangle between two labeled points [NOT READABLE QUALITY] for the coordinates of the second coordinate cannot be read clearly
",e8ee2da0-6be6-467a-bb43-c8f62d7df230.jpg
"slope triangle with a vertical change equal to 1 and a horizontal change equal to 4
",a542e36d-97cd-4c08-b070-14a49a1bb36c.jpg
"The student completed long division for 60\div4 and got 15 
",c7d4a9df-23e0-417e-a29a-1b637eb233bb.jpg
"slope triangle drawn with vertical change labeled 1 and horizontal change labeled 4

\frac{20}{4}=5 
",fe0a81aa-764d-44a7-a6ea-e930a2b1d550.jpg
"two slope triangles drawn with vertical change of 20 and horizontal change of 4
",6675d0b1-65a4-4e36-98b8-86d932a02011.jpg
"labeled points on the graph (4,60) and (8,80) with the 4 annotated as x and 60 annotated as y, 8 annotated as x and 80 annotated as y

\frac{y-60}{x-4}=\frac{20}{4}=5 
",28bfcd15-7497-4bcd-ad5b-37b93cb64a9d.jpg
"slope triangle drawn with vertical change labeled 20 and horizontal change labeled 4


",d947d934-e7ed-48b0-8256-a70b622f6050.jpg
"3 slope triangles without labels; translated line starting at (0,20) below them
",5c3050a4-8d9c-4b55-972f-37f2850deb1d.jpg
"3 slope triangles without labels; translated line starting at (0,20) below them

",d00101f0-e451-4398-9a29-70b17349f88b.jpg
"triangle drawn between two points (0,40) and (4, 60) with the base labeled 4 and the height labeled 20 
",a9f3e316-dd4f-4dac-8ca3-8da1584ebb15.jpg
"circle around multiplication work
",ddaae735-ea5d-4078-96cc-8b261fa11ab7.jpg
"Figure A is an L shape labeled with 1 on the top and 5 on the left side. 2 is labeled on the top of the base of the L shape. 1 is labeled on the right of the base of the L shape. 2 is labeled on the base of the L shape.
Figure B is an L shape labeled with 1 on the top and 7 on the left side. 3 is labeled on the top of the base of the L shape. 1 is labeled on the right of the base of the L shape. 3 is labeled on the base of the L shape. 7 is labeled on the right of the stem of the L shape.
Figure C is an L shape labeled with 2 on the top and 10 on the left side. 4 is labeled on the top of the base of the L shape. 2 is labeled on the right of the base of the L shape. 4 is labeled on the base of the L shape. 10 is labeled on the right of the stem of the L shape.
Figure D is an L shape labeled with 2 on the top and 7 on the left side. 3 is labeled on the top of the base of the L shape. 2 is labeled on the right of the base of the L shape. 3 is labeled on the base of the L shape. 7 is labeled on the right of the stem of the L shape.
",a6a35734-ee74-42bd-a13a-dfa2b683fcda.jpg
"Cut shapes on the grid into triangles
",d17431cd-16fa-4a29-8b2e-9f92c9c9bc4c.jpg
" Student drew a line on the parallelogram into 2 triangles. 
",f21b4610-c00a-4f0e-ac70-eba6db094310.jpg
"drew a rectangle and cut it into triangles labeled 1 and 2.
",5e83a552-823f-4c14-bec2-6b5003306f79.jpg
" Elena split the triangle copy into parts to turn it into a rectangle. Lin used a copy to turn it into a parallelogram
",a0032627-65e1-4340-8638-af9937f30980.jpg
"""1 to 60"" and ""2.75 inches"" in the original question are circled
",8ec8ad2e-e4b2-4820-b263-75a3eab834a5.jpg
"""S"" arrow pointing right ""A""
",24a43ee8-4447-44a3-aa67-625edcc933ab.jpg
"2 number lines. One is marked with ears 2, paws 4, tail 1. The second is marked with 1 tail, 2 ears, 4 paws
",ed36ec5f-99f7-47b7-b1c8-6f47cb517827.jpg
" student counted around the shape labeled 4 and 7 and wrote 28.
",31d65377-7ae1-44df-aa9c-84f3eb5bad91.jpg
" counted the boxes on grid. 
",c0120a9e-2f73-4611-8f3b-b0454e7fb8fe.jpg
"The number 660 is under a long division symbol.  The number 165 is on top.  The number 4 is to the left.  Underneath is the number 4 with an arrow showing to bring down the second 6.  A horizontal line is drawn.  The number 26 is written underneath.  The number 24 is then written underneath.  An arrow is drawn downward showing to bring down the 0.  A horizontal line is drawn.  The number 20 is written underneath.  The number 20 is written underneath.  A horizontal line is drawn.  The number 0 is written underneath

The number 16500 is under a long division symbol.  The number 13.75 is on top.  12 is to the left.  Underneath is 12 with an arrowing pointing down showing to bring down the 5.  A horizontal line is underneath.  45 is underneath.  36 is underneath.  An arrow is drawn downward showing to bring down the 0. A horizontal line is underneath. [ILLEGIBLE] is underneath.  84 is underneath.  An arrow is drawn downward showing to bring down the 0.  A horizontal line is drawn.  [ILLEGIBLE] is underneath.  [ILLEGIBLE] is underneath.  The number 0 is written underneath
",6963be1b-dd6f-4892-8e84-ef6006be1f2f.jpg
"arrow drawn pointing up at ""12"" in the question
",33edff1f-5b86-418d-af77-45f48152ed86.jpg
" student created triangles within the student examples on the shape. 
",a2164096-5a55-4f23-8756-be275734134c.jpg
"1.5 
Student labeled AD as 2 and PS as 3. Student created a table with headings O, SC, and SF. Under O they write 2. Under SC they write 3. Under SF they write 2 x 1.5 = 3
",d8144cc2-e8c4-4810-a5ef-ce12c121a1d0.jpg
" drew lines to separate diagrams into triangles
",ea6a99a8-b29a-4623-bcd5-4bd3045473a0.jpg
" drew lines on diagrams to make triangles. 
",c4b3742f-edb1-45c7-bba6-8d27108738a1.jpg
"answer of 175 ft is circled
",d5646c2a-629d-4830-b8f3-ec6b74aa8a51.jpg
"counted squares around shape labeled 4 and 7
",8af7f528-6571-4d41-8ae9-de2d0f2826ae.jpg
"Student decomposed and rearranged the 3 diagrams into triangles and rectangles.
",8aa42d9d-10e8-4a11-9c0c-8f07d03d3e7d.jpg
"""1 to 60"" and ""2.75 inches"" in the question are highlighted in pink and underlined
",c4dcd005-7641-44ff-8b34-81a4f1b600d8.jpg
"student decomposed and created 3 triangles in all 3 diagrams. 
",eb884448-5df8-4f26-a73f-c69c9f468a15.jpg
"""1 to 60"", ""2.75 inches"", ""answer in inches"", and ""then in feet"" are underlined in the question
",db277c85-72cf-4bf7-9279-3a21b2fa2f20.jpg
" student solved the long division of 42\div2\ =\ 42 
",027bbd83-f0c4-4aec-8955-71ba3b4e8aa2.jpg
"Student decomposed Elena and Lin's shapes into 2 triangles. Student then explained Lin put another triangle on the existing triangle. Showing understanding of decomposition. 
",262d2393-1723-4431-8a02-848f19d0c9c0.jpg
"Theres a cool way to do this
Rectangle labeled “clear sheet” with an arrow pointing to it from the right side. To the right of this is two rectangles drawn at an angle. The left rectangle has a shaded in block letter L shape. The right rectangle has 3 L’s drawn and a not shaded block L shape. To the right of this is two rectangles drawn on top of each other where the top on is more to the right and the bottom one is more to the bottom left. The shaded in L has an arrow pointing to it with “corect!” written next to it. 
",62a55d4f-402a-407a-8ca7-199da67aa6b3.jpg
"Figure A is an block letter L shape on the grid that is 1 across and 5 tall with base extending two beyond the stem. The L shape is labeled with 1 on top of the shape, 4 to the right of the stem of the L, 1 to the right of the base of the L, and 5 to the left of the stem of the L. Figure C is a larger block letter L shape on the grid with a width of 2 and height of 10 with the base extending 4 units beyond the right side of the stem.. 2 is labeled on the top of the L, 8 is labeled to the right of the stem of the L, 4 is labeled on the top of the base of the L, and 10 is labeled to the left of the L shape. 
",726d1f59-cc8d-4d38-a2c7-a4e8a0629de1.jpg
"boxes are drawn around the answers ""165 in"" and ""13.25 ft""
",a93eb971-1e39-4228-b789-856f763a6d00.jpg
"rectangle with opposite horizontal sides labeled as 12 and opposite vertical sides labeled at 1
",3e9f14a4-56b1-434f-961e-4ad32bd889ce.jpg
"2\cdot1.5=3 
Student labeled AD as 2 and PS as 3 and wrote the above equation with 1.5 circled
",12d1c9fa-3024-4b9d-9ea1-59ef12c2518f.jpg
"2.75\ in\ \cdot60=165\ in 
165 in 165 in has a box drawn around it

165\div12=13.75\ ft\ =\ 13\ ft\ 9\ in 
box around 13 ft 9 in
",61969c63-0f41-4617-a85d-a74634c79f0e.jpg
"""1 to 60"", ""2.75 inches"", ""inches and"", and ""feet"" are underlined in the question
",7094def5-19c9-4b39-85c9-003af96fc85f.jpg
"2.75\cdot60=165 in
165 in is written again with a box around it
165\div12=13.75 
13.75 ft is written again with a box around it
",de773726-009f-4197-8f1e-12bcbb4c83b8.jpg
"""1 to 12"" is underlined in the question
",14dc1bfe-3b85-4c5e-b69e-0c422fc9ab49.jpg
"165 in is circled
13 feet 9 in is circled
",21f0006f-d2fc-45fc-933e-e02bb5b62271.jpg
"the answer is circled
",8714851e-8490-450a-bda3-d8b4c0103d4d.jpg
" 

The student draws a model with five parts and each part is equal to 120. Two parts are shaded in and shown to equal 240. 
",ea62f86e-dff5-457e-ba86-d534b4530f0d.jpg
"

The student draws a model with five parts.
",158ab49d-0150-489e-a954-34a84311f53d.jpg
"

The model shows two parts shaded in and totaling 240.
",99a5d11a-7f71-4d85-a589-ac2c74dced10.jpg
"Figure B is a block letter L shape with a width of 1 and a height of 7. The base extends 3 units to the right of the stem. The top is labeled 1, the left side is labeled 6, the base is labeled 4. Figure C is a block letter L shape with a width of 2 and a height of 10. The base extends 4 units to the right of the stem. The top is labeled 2, the right of the stem is labeled 8, the top of the base is labeled 6, the right of the base is labeled 2, and the left of the stem is labeled 10. Figure D is a block letter L shape with a width of 2 and a height of 7. The base extends 3 units to the right of the stem. The top is labeled 2, the left of the stem is labeled 7, the base is labeled 5, and the right of the base is labeled 2.
",c96ffc77-7b64-4ce6-bf6d-832510295651.jpg
"""1 to 60"" is boxed.  ""2.75 inches"" is circled.  ""that side"" is boxed, with an arrow drawn pointing up to the circled ""2.75 inches""
",53450648-783a-41f4-a510-5bbc0cf165c3.jpg
"

The student draws.a model with five parts.

The student draws a model with two parts shaded and equal to 240.
",65ae2d74-c79d-4295-be7c-b5bb0d2d5f4e.jpg
".

The student draws.a model with five parts
",c4638b2e-8482-424d-beb7-753377328960.jpg
"

The student draws a model with two parts shaded and equal to 240.
",10d64e95-6086-4480-825f-264b9da9a7d3.jpg
"

The student draws a model with five parts with each part representing \frac{1}{5} .

",b9c9134b-0843-4244-b930-1a3a069de61c.jpg
"

The student draws.model with five parts and each part represents 120 and the total is 600.
",52b9a9cb-c380-453a-8052-2cdfda0ef175.jpg
"

The student draws a model with five parts that each represent 120 and two parts are connected to equal 240. 
",b251618b-1f6e-4c86-af37-acb8e096ad65.jpg
"

The student draws a model with five parts that each represent 120
",5a15df7a-4103-4aef-ba13-5961139e79c2.jpg
"

Two parts  of the five are connected to equal 240. 
",5d31bbe3-5a50-482b-bad3-0d6c11016736.jpg
" 

The student draws a model that has five parts and each part equals 240.
",66310465-0c02-4b0e-982c-e5979712f271.jpg
"
The diagram represents the denominator with five equal parts and two shaded parts to equal 240.
",fb081bdc-6099-415a-8aef-64c6b2b75760.jpg
"
The diagram includes a representation fot he numerator with two shaded sections.
",db81978c-a3e7-4115-8490-494505588553.jpg
"
The diagram represents the denominator with five equal parts.
",401ceece-648b-4209-8d18-ee48afdd4f11.jpg
"

The drawing includes five parts and shading to show the value of \frac{2}{5} .
",51592f1c-0ffb-438e-aac1-68189ba7bd08.jpg
"

The drawing includes five parts and shading to show the value of \frac{2}{5} .  There are two shaded parts that equal $240.
",8a05c1e1-bfdd-4022-95cd-55eaf9c523da.jpg
"

The drawing includes five parts and shading to show the value of \frac{2}{5} . The diagram includes five parts.
",f4b8e009-8186-40b3-af90-c3e5b57a5329.jpg
"two congruent quadrilaterals, one labeled A and the other labeled B
",e223f854-a93a-4ebd-8b8d-60d53746d42e.jpg
"a grid with two congruent quadrilaterals labeled X and Z. A coordinate axes, with a scale of 1, is drawn on the grid, with (0, 0) at the center of the grid. 
",3a5467fd-282e-4605-be32-5138324686a3.jpg
"2 number lines. The first one is marked with 0, 2, 4, 6, 8, 10, 12, 14 and labeled ears. The second is marked with 4, 8, 12, 16 and labeled paws
",0d07bdab-875b-4b96-8987-1b1e4865de4d.jpg
"2 parallel horizontal lines. The first has 14 vertical lines marked on it and is labeled ear. The second has 3 vertical lines marked on it and is labeled tale
",e54201de-bbff-42c5-b89e-5429df6360c4.jpg
"3 number lines. The first one is marked with 2, 4, 6, 8, 10, 12, 14, 18. The second is marked with 4, 8, 12, 16, 20, 24, 28, 32. The third is marked with 2, 3, 4, 1, 2, 3, 4. The markings are unequally spaced. 
",50c87684-f070-4ccd-aa8e-0a8191f898d1.jpg
"3 number lines. The first one is marked with 0, 2, 4, 6, 8, 10. The second is marked with 0, 1, 2, 3, 4, 5. The third is marked with 4, 8, 12, 16, 20 The markings are unequally spaced.
",67927443-d04c-4e2d-8137-dec837bf9bb0.jpg
"3 number lines. The first one is marked with 0, 2, 4, 6, 8, 10, 12, 14, 18 and is labeled ears. The second is marked with 0, 4, 8, 12, 16, 20, 24, 28, 32 and is labeled paws. The third is marked with 0, 1, 2, 3, 4, 5, 6, 7, 8 and is labeled tail. The markings are approximately equally spaced.
",b73e61ef-8277-463e-94fa-c93dcb203a06.jpg
"3 number lines. The first one is marked with 2, 4, 6, 8, 10 and is labeled Ears. The second is marked with 4, 8, 12, 16, 20 and is labeled Paws. The third is marked with 1, 2, 3, 4, 5 and is labeled tails. The markings are approximately equally spaced.
",e06b3c1c-1e0a-4973-80e9-1462202ea00c.jpg
"2 number lines. The first is marked with 1, 2, 3, 4, 5 and is labeled tails. The markings are approximately equally spaced. The second one is marked with 2, 4, 6, 8, 10 and is labeled ears.
",8dd89d01-c862-47db-a80f-404e4bf2f81e.jpg
"3 number lines. The first one is marked with 2, 4, 6 and is labeled ears. The second is marked with 4, 8, 10 and is labeled paws. The third is marked with 1, 2, 3 and is labeled tail. The markings are approximately equally spaced.
",2617485c-7d04-4f2d-8ea8-8e62f0e2e438.jpg
"2 number lines. The first one is marked with 1, 2, 3, 4, 5, 6, 7, 8, 9, 10. The second is marked with 2, 4, 5, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26. The markings are unequally spaced.
",9a202191-c036-4dd5-b9c1-34c792887edd.jpg
"2 number lines. The first one is marked with 0, 2, 4, 6, 8, 10, 12, 14, 18. The second is marked with 0, 4, 8, 12, 16, 20, 24, 28, 32. 36. The markings are about equally spaced.
",3abfd154-df9d-4f83-81c7-90a60910e835.jpg
"2 triangles and 4 rectangles. 
",54998831-013b-4d95-8436-ba4d7e71cdcd.jpg
"A diagram with the letters E, P, T. Below, they wrote 6, 12, 3. Then a horizontal line, with pointing down arrows and ""x2"". Below, they wrote, 12, 24, 6
",57177f0b-d8c6-4a94-b5d0-129881b168df.jpg
